name_problem;num_vertices;num_subgroups;num_clusters;time;profit;distance;route;subgroups_visited;method
16eil76_T60_p2;75;75;16;0,12;2845,0;123;[(27  61)  (61  0)  (0  62)  (62  15)  (15  2)  (2  75)  (75  25)  (25  6)  (6  51)  (51  26)  (26  27)];[0  75  25  51  6  15  62  27  26  2  0];COPS-TABU
16eil76_T80_p1;75;75;16;0,237;61,0;162;[(47  1)  (1  21)  (21  41)  (41  0)  (0  15)  (15  2)  (2  16)  (16  75)  (75  7)  (7  51)  (51  26)  (26  36)  (36  47)];[0  21  26  75  7  2  51  16  15  36  47  41  0];COPS-TABU
16eil76_T80_p2;75;75;16;0,274;3525,0;162;[(73  0)  (0  22)  (22  62)  (62  15)  (15  43)  (43  39)  (39  57)  (57  6)  (6  33)  (33  51)  (51  26)  (26  36)  (36  73)];[0  6  39  62  57  22  43  26  15  33  73  36  51  0];COPS-TABU
16pr76_T100_p1;75;75;16;1,674;74,0;63676;[(0  20)  (20  43)  (43  49)  (49  66)  (66  69)  (69  70)  (70  56)  (56  41)  (41  33)  (33  10)  (10  11)  (11  18)  (18  2)  (2  1)  (1  74)  (74  0)];[0  33  49  2  70  11  69  56  66  20  43  41  18  1  74  10  0];COPS-TABU
16pr76_T100_p2;75;75;16;2,128;3765,0;61715;[(75  0)  (0  22)  (22  43)  (43  48)  (48  49)  (49  66)  (66  69)  (69  70)  (70  56)  (56  33)  (33  10)  (10  11)  (11  18)  (18  2)  (2  1)  (1  75)];[0  70  10  33  66  56  43  69  18  49  2  11  1  48  75  22  0];COPS-TABU
16pr76_T40_p1;75;75;16;0,114;47,0;24734;[(1  0)  (0  20)  (20  42)  (42  41)  (41  33)  (33  34)  (34  2)  (2  1)];[0  20  41  2  34  42  33  1  0];COPS-TABU
16pr76_T40_p2;75;75;16;0,057;2245,0;25334;[(0  1)  (1  8)  (8  11)  (11  10)  (10  33)  (33  32)  (32  20)  (20  0)];[0  1  11  33  10  20  8  32  0];COPS-TABU
16pr76_T60_p1;75;75;16;0,294;65,0;38763;[(11  8)  (8  1)  (1  0)  (0  22)  (22  47)  (47  48)  (48  49)  (49  56)  (56  33)  (33  34)  (34  18)  (18  9)  (9  11)];[0  48  9  49  18  33  34  47  11  1  56  22  0];COPS-TABU
16pr76_T60_p2;75;75;16;0,111;3250,0;37867;[(0  20)  (20  43)  (43  66)  (66  49)  (49  41)  (41  42)  (42  33)  (33  10)  (10  11)  (11  2)  (2  1)  (1  0)];[0  49  20  43  66  10  41  2  11  33  1  42  0];COPS-TABU
16pr76_T80_p1;75;75;16;0,4;71,0;50776;[(1  0)  (0  23)  (23  45)  (45  48)  (48  49)  (49  66)  (66  70)  (70  60)  (60  40)  (40  16)  (16  11)  (11  8)  (8  18)  (18  1)];[0  11  18  70  40  8  23  48  66  49  16  45  1  60  0];COPS-TABU
16pr76_T80_p2;75;75;16;0,486;3601,0;49310;[(0  1)  (1  2)  (2  18)  (18  11)  (11  10)  (10  33)  (33  56)  (56  70)  (70  66)  (66  49)  (49  48)  (48  43)  (43  20)  (20  0)];[0  49  33  1  10  70  56  18  20  2  11  43  48  66  0];COPS-TABU
