name_problem;num_vertices;num_subgroups;num_clusters;time;profit;distance;route;subgroups_visited;method
11berlin52_T100_p1;51;51;11;0,77;50,0;3820;[(np.int64(44)  np.int64(18))  (np.int64(18)  np.int64(3))  (np.int64(3)  np.int64(11))  (np.int64(11)  np.int64(50))  (np.int64(50)  np.int64(12))  (np.int64(12)  np.int64(46))  (np.int64(46)  np.int64(41))  (np.int64(41)  np.int64(20))  (np.int64(20)  np.int64(30))  (np.int64(30)  np.int64(0))  (np.int64(0)  np.int64(44))];[np.int64(0)  np.int64(3)  np.int64(18)  np.int64(20)  np.int64(50)  np.int64(41)  np.int64(30)  np.int64(11)  np.int64(44)  np.int64(12)  np.int64(46)  np.int64(0)];COPS-TABU
11berlin52_T100_p1;51;51;11;0,25;50,0;3835;[(np.int64(31)  np.int64(0))  (np.int64(0)  np.int64(17))  (np.int64(17)  np.int64(20))  (np.int64(20)  np.int64(41))  (np.int64(41)  np.int64(46))  (np.int64(46)  np.int64(12))  (np.int64(12)  np.int64(26))  (np.int64(26)  np.int64(50))  (np.int64(50)  np.int64(18))  (np.int64(18)  np.int64(44))  (np.int64(44)  np.int64(31))];[np.int64(0)  np.int64(12)  np.int64(31)  np.int64(18)  np.int64(50)  np.int64(41)  np.int64(46)  np.int64(44)  np.int64(17)  np.int64(26)  np.int64(20)  np.int64(0)];COPS-TABU
11berlin52_T100_p1;51;51;11;0,098;50,0;3802;[(np.int64(41)  np.int64(20))  (np.int64(20)  np.int64(30))  (np.int64(30)  np.int64(21))  (np.int64(21)  np.int64(0))  (np.int64(0)  np.int64(44))  (np.int64(44)  np.int64(18))  (np.int64(18)  np.int64(50))  (np.int64(50)  np.int64(27))  (np.int64(27)  np.int64(12))  (np.int64(12)  np.int64(46))  (np.int64(46)  np.int64(41))];[np.int64(0)  np.int64(21)  np.int64(30)  np.int64(27)  np.int64(41)  np.int64(44)  np.int64(20)  np.int64(12)  np.int64(18)  np.int64(46)  np.int64(50)  np.int64(0)];COPS-TABU
