name_problem;num_vertices;num_subgroups;num_clusters;time;profit;distance;route;subgroups_visited;method
pr299s10g1q2;298;10;10;804,316;102,0;20940,75;[(0  0)  (0  0)  (0  0)  (0  91)  (91  87)  (87  89)  (89  88)  (88  90)  (90  85)  (85  84)  (84  86)  (86  82)  (82  83)  (83  80)  (80  81)  (81  78)  (78  79)  (79  74)  (74  71)  (71  72)  (72  73)  (73  70)  (70  68)  (68  66)  (66  65)  (65  62)  (62  63)  (63  64)  (64  61)  (61  109)  (109  60)  (60  59)  (59  111)  (111  112)  (112  122)  (122  123)  (123  117)  (117  115)  (115  113)  (113  114)  (114  116)  (116  118)  (118  119)  (119  121)  (121  120)  (120  124)  (124  125)  (125  126)  (126  127)  (127  110)  (110  108)  (108  107)  (107  105)  (105  106)  (106  104)  (104  67)  (67  69)  (69  76)  (76  75)  (75  77)  (77  102)  (102  131)  (131  128)  (128  103)  (103  129)  (129  130)  (130  132)  (132  134)  (134  133)  (133  136)  (136  137)  (137  135)  (135  101)  (101  100)  (100  99)  (99  98)  (98  97)  (97  94)  (94  93)  (93  95)  (95  96)  (96  138)  (138  139)  (139  140)  (140  141)  (141  142)  (142  92)  (92  143)  (143  145)  (145  144)  (144  147)  (147  146)  (146  152)  (152  151)  (151  150)  (150  149)  (149  148)  (148  0)  (0  0)];[0  3  4  5  0];COPS-TABU
pr299s10g1q2;298;10;10;1256,906;102,0;21086,76;[(0  148)  (148  149)  (149  150)  (150  151)  (151  152)  (152  146)  (146  147)  (147  144)  (144  145)  (145  143)  (143  92)  (92  142)  (142  141)  (141  140)  (140  138)  (138  139)  (139  137)  (137  136)  (136  133)  (133  134)  (134  135)  (135  132)  (132  131)  (131  128)  (128  129)  (129  130)  (130  67)  (67  65)  (65  62)  (62  63)  (63  64)  (64  61)  (61  58)  (58  60)  (60  59)  (59  56)  (56  57)  (57  127)  (127  126)  (126  122)  (122  125)  (125  123)  (123  124)  (124  120)  (120  121)  (121  119)  (119  54)  (54  55)  (55  53)  (53  52)  (52  51)  (51  50)  (50  49)  (49  48)  (48  47)  (47  46)  (46  43)  (43  45)  (45  44)  (44  38)  (38  42)  (42  40)  (40  39)  (39  41)  (41  36)  (36  37)  (37  35)  (35  34)  (34  32)  (32  33)  (33  31)  (31  30)  (30  29)  (29  66)  (66  69)  (69  68)  (68  70)  (70  73)  (73  72)  (72  71)  (71  77)  (77  75)  (75  76)  (76  74)  (74  79)  (79  78)  (78  81)  (81  80)  (80  83)  (83  82)  (82  86)  (86  84)  (84  85)  (85  89)  (89  90)  (90  88)  (88  87)  (87  91)  (91  0)];[0  3  2  5  0];COPS-TABU
pr299s10g1q2;298;10;10;1900,901;102,0;23565,99;[(0  149)  (149  150)  (150  151)  (151  152)  (152  153)  (153  154)  (154  155)  (155  156)  (156  157)  (157  158)  (158  212)  (212  211)  (211  208)  (208  209)  (209  207)  (207  206)  (206  203)  (203  204)  (204  202)  (202  199)  (199  198)  (198  197)  (197  195)  (195  192)  (192  193)  (193  194)  (194  169)  (169  168)  (168  190)  (190  191)  (191  189)  (189  187)  (187  188)  (188  178)  (178  170)  (170  172)  (172  173)  (173  171)  (171  176)  (176  174)  (174  175)  (175  177)  (177  186)  (186  185)  (185  184)  (184  183)  (183  182)  (182  181)  (181  180)  (180  179)  (179  54)  (54  55)  (55  53)  (53  52)  (52  51)  (51  50)  (50  49)  (49  48)  (48  47)  (47  46)  (46  43)  (43  56)  (56  57)  (57  59)  (59  60)  (60  58)  (58  61)  (61  38)  (38  45)  (45  44)  (44  42)  (42  40)  (40  39)  (39  41)  (41  36)  (36  37)  (37  35)  (35  34)  (34  31)  (31  30)  (30  29)  (29  33)  (33  32)  (32  62)  (62  166)  (166  196)  (196  167)  (167  164)  (164  165)  (165  200)  (200  201)  (201  163)  (163  162)  (162  161)  (161  205)  (205  210)  (210  159)  (159  160)  (160  0)];[0  7  2  6  0];COPS-TABU
